token_id,name,Background,Backdrop Style,Fur,Skin,Outfit,Outfit Color,Expression,Headwear,Eyewear,Lens Color,Accessory,pixel_sha256,rarity_score,rarity_rank
1,Lomarka the Voyager,Crimson,Halo,Plum,Cocoa,Space Suit,Rust,Laughing,Spiked Hair,Bare Eyes,Ocean,Silk Scarf,ed65ac2141d363c86e0e3149646831325d76427657e11bcc97af483416515d12,29.074743,9567
2,Keluxke the Ranger,Slate,Halo,Blue Steel,Caramel,Tactical Vest,Teal,Grin,Pilot Cap,Eye Patch,Ocean,Silver Medallion,e7017ed03b19caf64b95081b823d27842b21480ecdf461e0ef84cdc6f2529ad9,29.215467,8625
3,Julinfi the Drifter,Amber,Solid,Jade,Cocoa,Denim Jacket,Navy,Pout,Crown,Classic Shades,Ice,Pendant,7aa1f7d81a29a4010b635f09478a306c76fdc330aafc8d53f61384ae57a114f4,32.291939,2225
4,Iovosro the Ronin,Midnight,Steps,Midnight,Silver,Ronin Robe,Onyx,Grin,Headband,Classic Shades,Violet,None,0128d69a1142659874589d8092aa9d9e0f2c824873be85ce23ea058667891541,32.280028,2435
5,Hawynor the Rider,Cobalt,Pixel Rain,Obsidian,Rosewood,Leather Rider,Ivory,Smirk,Spiked Hair,Cyber Visor,Ruby,Ear Ring,41baaeafb374d41d06ff77a64734711d39bf900417f956edc7db33e7a8b28350,32.253714,2923
6,Gakainu the Maestro,Cobalt,Steps,Obsidian,Cocoa,Velvet Tuxedo,Plum,Smirk,Spiked Hair,Clear Frames,Ocean,Gold Medallion,f7a005b17c206d96326191344889b6693b0d6a2136b56139cb3ced944c3c9bc8,30.554171,7102
7,Fitusju the Corsair,Rose,Steps,Espresso,Sand,Captain Coat,Onyx,Smirk,Pilot Cap,Monocle,Violet,Silver Medallion,7e35c4972eb50cbdec7d842c663dbbf53bcff37594785c5c77d5c2bc49a1f585,32.164408,4443
8,Eldorfi the Captain,Amethyst,Steps,Obsidian,Cocoa,Varsity Jacket,Onyx,Surprised,Spiked Hair,Round Shades,Amber,Silk Scarf,8f1306ab26769e0437b6c5ebc2f1a060232117b0827cc4366dfd3ed204764dd0,32.358886,1250
9,Datorar the Broker,Olive,Solid,Plum,Sand,Executive Suit,Forest,Stoic,Bucket Hat,Monocle,Mint,Gold Medallion,e61e01b23e97f8e29606c14bb0861718fca624af650bc7ad350a706e88a319fa,32.151342,4646
10,Cydinze the Broker,Slate,Halo,Midnight,Rosewood,Executive Suit,Plum,Laughing,Pilot Cap,Round Shades,Ice,Silk Scarf,58ccf9f4ef4d4f67f39b721c41155da174eaa76dc171fa96a58e85f7144615df,32.396093,850
11,Rozormi the Ranger,Slate,Halo,Blue Steel,Rosewood,Tactical Vest,Burgundy,Pout,Bucket Hat,Monocle,Amber,Pendant,2c24fd9abaeee2d385130ecc8f40c85be9eab97de6905bead79da5c6ee0cf91b,32.304973,2012
12,Armonio the Corsair,Cobalt,Solid,Ash,Cocoa,Captain Coat,Rust,Grin,Spiked Hair,Cyber Visor,Ice,Gold Medallion,b15f98c53370a356a856152cefdeb6eb80b69031ebe735da6373139aae4f29f1,32.317124,1838
13,Nynixel the Voyager,Midnight,Steps,Blue Steel,Caramel,Space Suit,Burgundy,Laughing,Spiked Hair,Sport Shades,Amber,None,4de04eec7c68643ec7cdf0de33224a18dcfb51b7d340268e985e3494dfcb0781,32.064016,5582
14,Luzenar the Maestro,Cobalt,Pixel Rain,Plum,Cocoa,Velvet Tuxedo,Ivory,Gritted Teeth,Headphones,Classic Shades,Mint,Silk Scarf,c7b472267791ea022ed5cb8c7da2dbfca9f7cb4ef9f9f193c347e89e1208cfc5,32.110685,5154
15,Orronze the Drifter,Lagoon,Steps,Blue Steel,Cocoa,Denim Jacket,Navy,Grin,Bucket Hat,Cyber Visor,Ocean,Pendant,373c4804f186fab92d12a1508887f2663b618d55d436d204943371d006b2c447,30.651769,6758
16,Zesenlo the Drifter,Amber,Steps,Ash,Silver,Denim Jacket,Forest,Gritted Teeth,Bucket Hat,Monocle,Amber,Silk Scarf,2edc2f0617662b507c71b91494f8f910d4e07b388ff5d9ccbede885ebfe7cf89,32.186249,4099
17,Vafenha the Broker,Lagoon,Solid,Jade,Sand,Executive Suit,Teal,Surprised,Headband,Eye Patch,Ocean,Studs,1fac9ea1fa179458beece18c0960627d20620cfeb88e74446ec6b70d71bcd412,29.45484,7498
18,Karisda the Drifter,Cobalt,Steps,Jade,Caramel,Denim Jacket,Rust,Pout,Headband,Clear Frames,Ruby,None,77590d12534cbd7d5f2dfee2750b4f93cf2e1bdda65f5ea6c29821174a8cd63c,32.271015,2593
19,Nunixny the Maestro,Cobalt,Steps,Espresso,Caramel,Velvet Tuxedo,Navy,Laughing,Headband,Sport Shades,Ice,Silk Scarf,e9afa59a62e5753511ade11187465cfe8e9107944d2ff965e2d04eedc32d4908,32.123598,5012
20,Mizenva the Skater,Rose,Halo,Jade,Cocoa,Street Hoodie,Rust,Grin,Beanie,Round Shades,Violet,Pendant,aab5b9b0cc995881c2ae2df589055d0de1864efcc75ce942f1bad5d08e96aaf4,32.05892,5617
21,Loronlo the Skater,Rose,Halo,Midnight,Caramel,Street Hoodie,Ivory,Surprised,Bucket Hat,Classic Shades,Violet,Ear Ring,a01e5baedec1c1caec9dfdbce4024a87e94536e457f21844027d43a92d75f3bb,32.417461,635
22,Kesenga the Rider,Cobalt,Steps,Jade,Silver,Leather Rider,Burgundy,Smirk,Bucket Hat,Classic Shades,Mint,None,58ef2b38776823e119232751cf224b29f764474a360e187dc08404547d5bf335,32.158268,4552
23,Jufency the Skater,Slate,Solid,Midnight,Cocoa,Street Hoodie,Forest,Pout,Spiked Hair,Monocle,Ocean,Ear Ring,925304607fca7bdd566302490999c24af959fcf5131933dc3959cf3ce4bf31f3,30.644892,6783
24,Iorislu the Rider,Emerald,Solid,Jade,Sand,Leather Rider,Ivory,Laughing,Pilot Cap,Eye Patch,Ocean,Studs,4a2026309682c36c18ac96c80198b86c696d1459f460e393497f78278f6f9824,29.019914,9791
25,Hasolka the Skater,Amber,Solid,Espresso,Caramel,Street Hoodie,Burgundy,Grin,Spiked Hair,Cyber Visor,Ocean,Ear Ring,acd09a85892ceae941557e4d9866582cb0bae91674038e72bb948e7c96e2dbe0,30.67418,6672
26,Garynke the Aviator,Amethyst,Halo,Espresso,Cocoa,Flight Bomber,Plum,Laughing,Pilot Cap,Eye Patch,Ocean,Silver Medallion,0747f1c523b47c460353c63dfcd659e84175f0d491f46edc4f19036f433e4ba5,29.187095,8846
27,Fivekga the Rider,Amethyst,Steps,Ash,Rosewood,Leather Rider,Burgundy,Gritted Teeth,Headband,Round Shades,Mint,Gold Medallion,ec334cbb124b6ce0f35b39c3a662487f5ca2817a7d7112bed7a3ae64505cfec0,32.207432,3734
28,Elrakro the Captain,Amethyst,Steps,Jade,Sand,Varsity Jacket,Onyx,Stoic,Snapback,Clear Frames,Amber,Silk Scarf,57fce9498399d87cc086e5d9a26b6c6701da40fb87ebfc8ecb3f51590a272f48,32.273493,2555
29,Dabelor the Corsair,Emerald,Solid,Jade,Caramel,Captain Coat,Forest,Stoic,Headphones,Round Shades,Ocean,Pendant,c5ee8fa13aa641a74e430fb013f96c0e0a9729a0ef2fb41f4513941d18cad633,30.338936,7438
30,Cytalnu the Maestro,Crimson,Halo,Ash,Silver,Velvet Tuxedo,Ivory,Frown,Snapback,Eye Patch,Ocean,Dog Tags,cbb3699bd298d941ba83539f922a7e65ff1a19100524f9117bcaa94268e6cc2c,29.213571,8645
31,Rovexju the Captain,Amethyst,Halo,Jade,Caramel,Varsity Jacket,Navy,Frown,Headphones,Eye Patch,Ocean,None,7b21cbc5548437184f3a4ba7df93a5a4cc0c8d2b1847220604344d9ced880a00,29.351512,7729
